epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,2.22196,0.2215,2.15580,0.2906,0.000100
2,2.17303,0.2805,2.12615,0.3288,0.000100
3,2.16410,0.2896,2.08419,0.3712,0.000100
4,2.12950,0.3267,2.07973,0.3756,0.000100
5,2.11700,0.3379,2.07704,0.3787,0.000100
6,2.10628,0.3492,2.06291,0.3918,0.000100
7,2.09063,0.3649,2.04990,0.4077,0.000100
8,2.08266,0.3733,2.05252,0.4035,0.000100
9,2.08394,0.3720,2.02762,0.4299,0.000100
10,2.06123,0.3943,2.00863,0.4481,0.000100
11,2.04639,0.4097,1.99642,0.4619,0.000100
12,2.03765,0.4182,2.00235,0.4562,0.000100
13,2.02458,0.4328,2.01416,0.4455,0.000100
14,2.01230,0.4443,1.95351,0.5041,0.000100
15,2.00422,0.4535,1.98575,0.4729,0.000100
16,1.98081,0.4763,1.92204,0.5356,0.000100
17,1.96883,0.4883,1.92644,0.5322,0.000100
18,1.95896,0.4987,1.90288,0.5564,0.000100
19,1.95399,0.5041,1.90387,0.5554,0.000100
20,1.94645,0.5121,1.89285,0.5642,0.000100
21,1.92621,0.5322,1.89757,0.5604,0.000100
22,1.92491,0.5337,1.89253,0.5663,0.000100
23,1.90953,0.5485,1.88822,0.5708,0.000100
24,1.89896,0.5600,1.86770,0.5905,0.000100
25,1.88722,0.5720,1.85664,0.6020,0.000100
26,1.87957,0.5786,1.83389,0.6247,0.000100
27,1.87247,0.5858,1.83314,0.6265,0.000100
28,1.85913,0.5999,1.83104,0.6278,0.000100
29,1.86098,0.5981,1.81939,0.6406,0.000100
30,1.84807,0.6112,1.81982,0.6397,0.000100
31,1.84029,0.6190,1.81517,0.6453,0.000100
32,1.83945,0.6197,1.81741,0.6419,0.000100
33,1.83035,0.6283,1.79326,0.6639,0.000100
34,1.82251,0.6365,1.80650,0.6528,0.000100
35,1.82175,0.6376,1.79461,0.6655,0.000100
36,1.81380,0.6455,1.78061,0.6785,0.000100
37,1.81226,0.6468,1.80341,0.6570,0.000100
38,1.81034,0.6492,1.78502,0.6736,0.000100
39,1.80449,0.6550,1.77999,0.6790,0.000100
40,1.79808,0.6610,1.80374,0.6549,0.000100
41,1.79605,0.6635,1.77108,0.6882,0.000100
42,1.79527,0.6640,1.77600,0.6841,0.000100
43,1.78947,0.6701,1.77240,0.6867,0.000100
44,1.78625,0.6725,1.76067,0.6982,0.000100
45,1.78208,0.6770,1.75994,0.6990,0.000100
46,1.77665,0.6828,1.79006,0.6690,0.000100
47,1.77956,0.6805,1.77651,0.6832,0.000100
48,1.77874,0.6805,1.76256,0.6969,0.000100
49,1.77359,0.6858,1.76263,0.6983,0.000100
50,1.76987,0.6902,1.75773,0.7032,0.000100
51,1.75403,0.7062,1.74532,0.7143,0.000080
52,1.75112,0.7091,1.74047,0.7197,0.000080
53,1.74909,0.7104,1.74792,0.7124,0.000080
54,1.74925,0.7110,1.75580,0.7032,0.000080
55,1.74861,0.7113,1.73295,0.7276,0.000080
56,1.73980,0.7196,1.74378,0.7164,0.000080
57,1.74613,0.7139,1.75819,0.7015,0.000080
58,1.74586,0.7142,1.72928,0.7313,0.000080
59,1.73829,0.7220,1.73892,0.7218,0.000080
60,1.73344,0.7267,1.73872,0.7214,0.000080
61,1.73827,0.7214,1.74470,0.7155,0.000080
62,1.73202,0.7281,1.72321,0.7369,0.000080
63,1.73256,0.7278,1.73517,0.7239,0.000080
64,1.73159,0.7281,1.74815,0.7110,0.000080
65,1.73028,0.7294,1.74293,0.7172,0.000080
66,1.72798,0.7317,1.72896,0.7311,0.000080
67,1.72483,0.7353,1.72599,0.7330,0.000080
68,1.72655,0.7333,1.72192,0.7387,0.000080
69,1.72148,0.7387,1.72571,0.7349,0.000080
70,1.72667,0.7331,1.72054,0.7393,0.000080
71,1.72344,0.7369,1.71967,0.7401,0.000080
72,1.72187,0.7385,1.71852,0.7408,0.000080
73,1.71907,0.7408,1.73157,0.7291,0.000080
74,1.71799,0.7418,1.71620,0.7441,0.000080
75,1.71341,0.7467,1.72408,0.7367,0.000080
76,1.71160,0.7481,1.70969,0.7510,0.000080
77,1.71265,0.7469,1.71643,0.7434,0.000080
78,1.71254,0.7475,1.73717,0.7227,0.000080
79,1.71089,0.7488,1.71920,0.7413,0.000080
80,1.70998,0.7501,1.71550,0.7446,0.000080
81,1.70684,0.7534,1.71299,0.7470,0.000080
82,1.70587,0.7539,1.71706,0.7428,0.000080
83,1.70767,0.7528,1.70655,0.7537,0.000080
84,1.70590,0.7541,1.70900,0.7498,0.000080
85,1.70407,0.7558,1.70633,0.7537,0.000080
86,1.70284,0.7575,1.69990,0.7602,0.000080
87,1.70510,0.7555,1.71308,0.7470,0.000080
88,1.70036,0.7599,1.72466,0.7353,0.000080
89,1.69946,0.7606,1.70602,0.7532,0.000080
90,1.69903,0.7613,1.70829,0.7519,0.000080
91,1.70077,0.7595,1.70636,0.7533,0.000080
92,1.69590,0.7642,1.70573,0.7535,0.000080
93,1.69950,0.7606,1.70585,0.7552,0.000080
